Timestamp,Menu,Rating,Review
12/12/2025 08:36:16,83,5,"Untuk menu Sunset ini. Rasanya enak dan beneran memuaskan, kualitasnya terasa."
12/12/2025 08:36:50,8,4,"Saya suka banget sama Apple Pie Latte ini. Rasanya enak dan beneran memuaskan, kualitasnya terasa."
12/12/2025 08:40:40,93,5,"Baru pertama coba Croffle ini. Rasanya enak dan beneran memuaskan, kualitasnya terasa."
12/12/2025 09:54:29,33,4,"Senang sekali sama Chamomile ini. Rasanya enak dan beneran memuaskan, kualitasnya terasa."
12/12/2025 10:13:04,62,3,"Pas dicoba, menu Jus Semangka ini cukup standar. Tidak ada yang spesial, tapi masih bisa dinikmati."
12/12/2025 11:42:53,7,2,Harapannya sih Americano Ice Arabica ini agak kurang sesuai selera saya. Rasanya tidak seperti yang saya harapkan.
12/12/2025 12:17:32,14,5,"Rasa pisang aslinya berasa banget, tipe kue yang gak bikin enek."
12/12/2025 12:33:56,83,2,"Untuk ukuran harga segini, menu Sunset ini agak kurang sesuai selera saya. Rasanya tidak seperti yang saya harapkan."
12/12/2025 12:38:14,73,4,Gula aren memberi rasa khas dan hangat. Mengingatkan minuman tradisional
12/12/2025 12:41:50,77,3,"Boleh dicoba untuk Red Apple ini cukup standar. Tidak ada yang spesial, tapi masih bisa dinikmati."
12/12/2025 14:45:42,81,2,Sayangnya Soft Tea ini agak kurang sesuai selera saya. Rasanya tidak seperti yang saya harapkan.
12/12/2025 15:36:03,41,5,"Ekstraksinya sangat baik, terasa nutty dan aromanya sangat harum"
12/12/2025 15:47:04,60,3,"Biasa saja sih untuk Jasmine Ice ini cukup standar. Tidak ada yang spesial, tapi masih bisa dinikmati."
12/12/2025 18:55:48,5,3,"Menurut saya rasa Americano Ice Houesblend ini cukup standar. Tidak ada yang spesial, tapi masih bisa dinikmati."
12/12/2025 19:26:56,23,4,Hangat dan mengenyangkan. Cocok diminum malam hari.
12/12/2025 20:31:50,74,5,"rasanya unik, perpaduan kopi dan kue tiramisu yang manis dan creamy, tapi tidak eneg"
13/12/2025 08:38:51,70,5,Berani dan beda rasanya juga enak
